Aachenerin,Aachener
Abdampfquerschnitt,Exhaust cross section
Abdampfquerschnitte,Exhaust steam cross-sections
Abdampfquerschnitten,Exhaust cross-sections
Abdampfrate,Evaporation rate
Abdampfraum,Exhaust steam room
Abdampfraumes,Exhaust steam space
Abdampfraums,Exhaust steam room
Abdampfrohr,Exhaust pipe
Abdampfrohre,Exhaust pipes
Abdampfrohrs,Exhaust pipe
Abdampfrückstand,Evaporation residue
Abdampfrückstände,Evaporation residues
Abdampfrückstands,Evaporation residue
Abdampfschale,Evaporation tray
Abdampfspeicher,Exhaust steam storage
Abdampfspeichern,Store exhaust steam
Abdampfspeichers,Exhaust steam storage
abdampfst,evaporate
Abdampfstrahls,Exhaust steam jet
Abdampfstrom,Exhaust steam flow
Abdampfstroms,Exhaust steam flow
Abdampfstutzen,Exhaust connection
Abdampfstutzens,Exhaust steam nozzle
abdämpfte,dampened
Abdampfteil,Exhaust section
Abdampfteile,Evaporation parts
Abdampfteils,Exhaust part
Abdampftemperatur,Evaporation temperature
Abdampftemperaturen,Evaporation temperatures
abdampften,evaporate
abdämpften,dampen
abdampftest,evaporate
abdämpftest,dampen
abdampftet,evaporates
Abdampfturbine,Exhaust turbine
Abdampfturbinen,Exhaust steam turbines
Abdampfventil,Exhaust valve
Abdampfventile,Exhaust valves
Abdampfventilen,Exhaust valves
Abdampfverbindung,Exhaust connection
Abdampfverlust,Loss of steam
Abdampfverluste,Evaporation losses
Abdampfverlustes,Loss of steam
Abdampfvermeidung,Evaporation prevention
Abdampfvolumen,Evaporation volume
Abdampfvolumens,Evaporation volume
Abdampfvolumenstrom,Exhaust steam volume flow
abdanke,abdicate
abdanken,abdicate
abdankend,abdicating
abdankendem,abdicating
abdankendes,abdicating
abdankst,abdicate
abdankten,abdicated
abdanktest,abdicated
Abdankungsangebot,Abdication offer
Abdankungsangeboten,Offers of abdication
Abdankungsangebotes,Abdication offer
Abdankungsangebots,Abdication offer
Abdankungsbriefen,Letters of abdication
Abdankungsbriefes,Letter of abdication
Abdankungserklärung,Declaration of abdication
Abdankungskapelle,Abdication Chapel
Abdankungsrede,Abdication speech
Abdeckblech,Cover plate
Abdeckbohle,Cover plank
Abdeckdrucke,Cover prints
abdeckendem,covering
Abdeckpapiere,Masking papers
Abdeckplatten,Cover plates
Abdeckproben,Masking samples
Abdeckprofilleiste,Cover profile strip
Abdeckrings,Cover ring
Abdeckrost,Cover grate
Abdeckschale,Cover shell
Abdeckscheibe,Cover panel
Abdeckschicht,Cover layer
Abdeckschichten,Covering layers
Abdecksteins,Cover stones
Abdeckstiften,Cover pins
Abdeckstiftes,Concealer
Abdecksystems,Cover system
Abdeckteil,Cover part
Abdeckteilen,Cover parts
abdeckten,covered
abdecktest,covered
Abdecktuch,Drape
Abdecktücher,Drapes
Abdecktüchern,Drapes
Abdecktuchs,Drape
Abdeckung,cover
Abdeckungsfläche,Coverage area
Abdeckungsflächen,Coverage areas
Abdeckungsgrad,Degree of coverage
Abdeckungsgrade,Degree of coverage
Abdeckungsgraden,Degree of coverage
Abdeckungsrate,Coverage rate
Abdeckverband,Cover bandage
Abdeckverbänden,Cover bandages
Abdeckverbandes,Covering bandage
Abdeckziegel,Covering tiles
Abdeckziegeln,Covering tiles
Abdeckziegels,Covering tile
Abdeichung,Dike
abdekantiere,decant
abdekantieren,decant
abdekantierend,decanting
abdekantierendem,decanting
abdekantierender,decanting
abdekantierendes,decanting
abdekantierst,decant
abdekantiert,decanted off
abdekantiertem,decanted
abdekantierten,decanted
abdekantierter,decanted
abdekantiertes,decanted
abdestilliere,distill off
abdestillieren,distill off
abdestillierend,distilling off
abdestillierende,distilling off
abdestillierenden,distilling off
abdestillierender,distilling off
abdestillierendes,distilling off
abdestilliertem,distilled off
abdestillierter,distilled off
abdestilliertes,distilled off
abdestilliertest,distilled off
Abdichtband,Sealing tape
Abdichtbänder,Sealing tapes
Abdichtbändern,Sealing tapes
abdichtbar,sealable
abdichtbarem,sealable
abdichtbaren,sealable
abdichtbarer,sealable
abdichtbares,sealable
abdichtend,sealing
abdichtendem,sealing
abdichtenden,sealing
abdichtender,more sealing
abdichtendes,sealing
Abdichtens,Sealing
abdichtet,seals
abdichteten,seal
abdichtetest,sealed
abdichtetet,seals
Abdichtfett,Sealing grease
Abdichtfettes,Sealing grease
Abdichtfläche,Sealing surface
Abdichtflächen,Sealing surfaces
Abdichtfuge,Sealing joint
Abdichtfugen,Sealing joints
Abdichtfunktion,Sealing function
Abdichtfunktionen,Sealing functions
Abdichtkappe,Sealing cap
Abdichtkappen,Sealing caps
Abdichtklebeband,Sealing tape
Abdichtklebebänder,Sealing tapes
Abdichtklebebändern,Sealing tapes
Abdichtklebebandes,Sealing tape
Abdichtmasse,Sealing compound
Abdichtmassen,Sealing compounds
Abdichtmaterial,Sealing material
Abdichtmaterials,Sealing material
Abdichtmittel,Sealant
Abdichtmitteln,Sealants
Abdichtmittels,Sealant
Abdichtoperation,Sealing operation
Abdichtoperationen,Sealing operations
Abdichtprinzip,Sealing principle
Abdichtsegment,Sealing segment
Abdichtsegmente,Sealing segments
Abdichtsegmenten,Sealing segments
Abdichtstift,Sealing pin
Abdichtstifte,Sealing pins
Abdichtstiften,Sealing pins
Abdichtstifts,Sealing pin
Abdichtstück,Sealing piece
Abdichtstücke,Sealing pieces
Abdichtstücks,Sealing piece
Abdichttopf,Sealing pot
Abdichtung,seal
Abdichtungen,Seals
Abdichtungsarbeit,Sealing work
Abdichtungsarbeiten,Waterproofing work
Abdichtungsart,Type of sealing
Abdichtungsarten,Types of sealing
Abdichtungsbahn,Waterproofing membrane
Abdichtungsband,Sealing tape
Abdichtungsbänder,Sealing tapes
Abdichtungsbändern,Sealing tapes
Abdichtungsebene,Sealing level
Abdichtungsebenen,Sealing levels
Abdichtungsfolie,Sealing foil
Abdichtungsfolien,Sealing foils
Abdichtungsfunktionen,Sealing functions
Abdichtungsleiste,Sealing strip
Abdichtungsleisten,Sealing strips
Abdichtungsmasse,Sealing compound
Abdichtungsmassen,Sealing compounds
Abdichtungsmaßnahme,Sealing measure
Abdichtungsmaßnahmen,Sealing measures
Abdichtungsmaterial,Sealing material
Abdichtungsmaterialien,Sealing materials
Abdichtungsmaterials,Sealing material
Abdichtungsmittel,Sealant
Abdichtungsmitteln,Sealants
Abdichtungsmittels,Sealant
Abdichtungsmörtel,Sealing mortar
Abdichtungsmörtels,Sealing mortar
Abdichtungspfropfen,Sealing plug
Abdichtungspfropfens,Sealing plug
Abdichtungsprofil,Sealing profile
Abdichtungsprofile,Sealing profiles
Abdichtungsprofilen,Sealing profiles
Abdichtungsprofils,Sealing profile
Abdichtungsreserve,Sealing reserve
Abdichtungsring,Sealing ring
Abdichtungsringe,Sealing rings
Abdichtungsringen,Sealing rings
Abdichtungsrings,Sealing ring
Abdichtungsschicht,Waterproofing layer
Abdichtungsschichten,Waterproofing layers
Abdichtungssystem,Waterproofing system
Abdichtungssysteme,Sealing systems
Abdichtungssystemen,Waterproofing systems
Abdichtungssystems,Sealing system
Abdichtungstechnik,Sealing technology
Abdichtungstechniken,Sealing techniques
Abdichtungsversuch,Sealing attempt
Abdichtungsversuche,Sealing attempts
Abdichtungsversuchen,Sealing attempts
Abdichtungsversuchs,Sealing test
Abdichtvorrichtung,Sealing device
Abdichtvorrichtungen,Sealing devices
Abdichtwand,Sealing wall
Abdichtwirkung,Sealing effect
Abdichtwirkungen,Sealing effects
abdiene,serve
abdienen,serve
abdienend,serving
abdienende,serving
abdienendem,serving
abdienenden,serving
abdienender,serving
abdienendes,serving
Abdienens,Serving
abdient,serving
abdiente,served
abdienten,served
abdientest,serve
abdientet,serves
Abdikation,abdication
abdingbar,indispensable
abdingbare,indispensable
abdingbarem,indispensable
abdingbaren,dispensable
abdingbarer,more indispensable
abdingbares,indispensable
Abdingbarkeit,Dispensability
abdinge,dings
Abdingens,Abding
abdingst,abandon
abdingt,deviates
abdocke,undock
abdocken,undock
abdockend,undocking
abdockende,undocking
abdockenden,undocking
abdockender,undocking
abdockst,undock
abdockt,undocking
abdockte,undocked
abdockten,undock
Abdockverbot,No undocking
Abdockverbote,Undocking prohibitions
Abdockverboten,Undocking prohibited
Abdockverbots,Undocking ban
Abdomenende,Abdomen end
Abdomens,Abdomen
Abdomensonographie,Abdominal sonography
Abdomina,Abdomen
Abdominalatmung,Abdominal breathing
Abdominalbereich,Abdominal area
Abdominalbeschwerden,Abdominal discomfort
Abdominalblutung,Abdominal bleeding
Abdominalchirurgie,Abdominal surgery
abdominalchirurgisch,abdominal surgery
abdominalchirurgischem,abdominal surgery
abdominalchirurgischen,abdominal surgery
abdominalchirurgischer,abdominal surgical
abdominalchirurgisches,abdominal surgical
abdominale,abdominal
abdominalem,abdominal
abdominaler,abdominal
abdominales,abdominal
Abdominalfistel,Abdominal fistula
Abdominalfisteln,Abdominal fistulas
Abdominalfußes,Abdominal foot
Abdominalganglien,Abdominal ganglia
Abdominalgeräusch,Abdominal noise
Abdominalgeräuschen,Abdominal noises
Abdominalgravidität,Abdominal pregnancy
Abdominalgürtel,Abdominal belt
Abdominalhoden,Abdominal testicle
Abdominalhöhlen,Abdominal cavities
Abdominalkolik,Abdominal colic
Abdominalkoliken,Abdominal colic
Abdominallinie,Abdominal line
Abdominalorgane,Abdominal organs
Abdominalparazentese,Abdominal paracentesis
Abdominalpresse,Abdominal press
Abdominalpuls,Abdominal pulse
Abdominalpulses,Abdominal pulse
Abdominalquadrant,Abdominal quadrant
Abdominalquadranten,Abdominal quadrant
Abdominalreflexes,Abdominal reflex
Abdominalregion,Abdominal region
Abdominalring,Abdominal ring
Abdominalringe,Abdominal rings
Abdominalringen,Abdominal rings
Abdominalringes,Abdominal ring
Abdominalrings,Abdominal ring
Abdominalschmerzen,Abdominal pain
Abdominalschmerzes,Abdominal pain
Abdominalsegment,Abdominal segment
Abdominalsegmenten,Abdominal segments
Abdominalspule,Abdominal coil
Abdominalsyndroms,Abdominal syndrome
Abdominaltrauma,Abdominal trauma
Abdominaltraumas,Abdominal trauma
Abdominaltuberkulose,Abdominal tuberculosis
Abdominaltumors,Abdominal tumor
Abdominalverbände,Abdominal bandages
Abdominalverletzung,Abdominal injury
Abdominalwänden,Abdominal walls
Abdominalzysten,Abdominal cysts
abdominellen,abdominal
abdomineller,abdominal
abdominelles,abdominal
Abdominoplastiken,Abdominoplasties
abdrängend,pushing away
Abdrängens,Pushing away
abdrängten,pushed away
abdrehen,turn off
abdreht,turns off
abdriftendem,drifting
abdrossele,throttle
abdrosselnde,throttling
abdruckbarem,printable
abdrucken,print
abdruckfreie,print-free
Abdrückgeschwindigkeit,Push-off speed
Abdruckhöhe,Imprint height
Abdrucklöffel,Impression spoon
Abdrucklöffeln,Impression trays
Abdrucklöffels,Impression spoon
Abdruckmaßen,Imprint dimensions
Abdruckmaterial,Impression material
Abdruckmaterialien,Impression materials
Abdruckmaterials,Impression material
Abdrucknachweise,Proof of prints
Abdrucknachweisen,Proof of prints
Abdrucknachweises,Proof of print
Abdrucknahmen,Imprints
Abdruckpaar,Pair of imprints
Abdruckpaste,Impression paste
Abdruckplatte,Impression plate
Abdruckplatten,Impression plates
Abdruckprofil,Imprint profile
Abdruckprofilen,Imprint profiles
Abdruckrechte,Reprint rights
Abdruckrechten,Printing rights
Abdrucks,Imprint
Abdruckspritze,Impression syringe
Abdruckspritzen,Impression syringes
Abdrucksrecht,Right of reprint
Abdrucksrechte,Reprint rights
Abdrucksrechts,Right of reprint
abdrückst,pull the trigger
abdruckte,printed
abdrückte,pulled the trigger
Abdrucktechnik,Impression technique
abdrückten,pulled the trigger
abdrucktest,print test
abdrücktest,pulled the trigger
abdrucktet,prints
abdrücktet,pulls the trigger
Abdrucktiefe,Impression depth
Abdruckverfahren,Imprint process
Abdrückvorrichtung,Push-off device
Abdrückvorrichtungen,Push-off devices
Abdruckwachses,Impression wax
abducke,duck down
abducken,duck down
abduckendem,crouching
abduckenden,ducking down
abduckender,ducking down
abduckst,duck down
abduckt,ducks
abduckte,ducked
abduckten,ducked down
abducktest,ducked
Abduktion,Abduction
Abduktionsfraktur,Abduction fracture
Abduktionsmuskel,Abduction muscle
Abduktionsmuskeln,Abduction muscles
Abduktionsmuskels,Abduction muscle
Abduktionsschiene,Abduction splint
Abduktionsschienen,Abduction splints
Abduktionsstellung,Abduction position
Abduktionsstellungen,Abduction positions
Abduktionswirkung,Abduction effect
abduktive,abductive
abduktiven,abductive
abduktiver,abductive
abduktives,abductive
Abduktor,Abductor
Abduktoren,Abductors
Abduktoreninsuffizienz,Abductor failure
Abduktorenlähmung,Abductor paralysis
Abduktors,Abductor
Abdülhamids,Abdulhamid
Abdullahs,Abdullah
abdunkelbar,can be darkened
abdunkelbarem,darkenable
abdunkelbaren,can be darkened
abdunkelbares,can be darkened
abdunkele,darken
abdunkeln,darken
abdunkelnd,darkening
abdunkelndem,darkening
abdunkelnder,darkening
abdunkelndes,darkening
Abdunkelns,Darkening
abdunkelst,darken
abdunkelte,darkened
abdunkelten,darkened
abdunkeltest,darkened
abdunkeltet,darkened
Abdunkelung,Darkening
Abdunkelungen,Darkening
Abdunkelungsvorrichtung,Darkening device
Abdunkelungsvorrichtungen,Darkening devices
abdunkle,darken
Abdunklung,Darkening
Abdunklungen,Darkenings
abdusche,shower off
abduschen,shower off
abduschend,showering off
abduschende,showering off
abduschendem,showering off
abduschenden,shower off
abduschender,showering off
abduschendes,showering off
abduschst,shower off
abduscht,shower off
abduschte,showered off
abduschten,take a shower
abduschtest,shower off
abduschtet,shower off
abdüse,nozzle
abdüsen,jet off
abdüst,spray off
abdüste,spray off
abdüsten,spray off
abdüstest,spray off
Abduzenslähmung,Abdominal paralysis
Abduzensparese,Palsy of the abdomen
Abeba,Ababa
abebben,ebb away
abebbend,ebbing
abebbende,ebbing
abebbendem,ebbing
abebbender,ebbing
abebbendes,ebbing
abebbt,ebbs away
abebbte,subsided
abebbten,ebbed away
Abecebuch,Abece book
Abecebücher,Abece books
Abecebüchern,Abece books
Abeceschütze,Abeceschützen
Abeceschützen,Abec protect
Abelpreis,Abel price
Abelpreises,Abel Prize
abelschen,abel
abelsches,abelian
Abend,Eve
Abendabitur,Evening high school
Abendabiture,Evening furniture
Abendabituren,Evening school exams
Abendabiturs,Evening school classes
Abendakademie,Evening academy
Abendakademien,Evening academies
Abendakt,Evening act
Abendakte,Evening act
Abendakten,Evening files
abendaktive,evening active
abendaktivem,evening active
abendaktiven,evening active
abendaktiver,more active in the evening
abendaktives,evening active
Abendamüsement,Evening entertainment
Abendamüsements,Evening amusements
Abendandacht,Evening prayer
Abendandachten,Evening prayers
Abendanimation,Evening animation
Abendansicht,Evening view
Abendanzug,Evening suit
Abendanzüge,Evening suits
Abendanzügen,Evening suits
Abendanzuges,Evening suits
Abendanzugs,Evening suits
Abendappell,Evening roll call
Abendappelle,Evening roll calls
Abendappellen,Evening roll calls
Abendappells,Evening roll call
Abendaudienz,Evening audience
Abendaudienzen,Evening audiences
Abendaufführung,Evening performance
Abendaufführungen,Evening performances
Abendausbildung,Evening training
Abendausbildungen,Evening courses
Abendausgabe,Evening edition
Abendausgaben,Evening editions
Abendausstellung,Evening exhibition
Abendausstellungen,Evening exhibitions
Abendbank,Evening bench
Abendbanken,Evening banks
Abendbankett,Evening banquet
Abendbankette,Evening banquets
Abendbanketten,Evening banquets
Abendbankettes,Evening banquets
Abendbanketts,Evening banquets
Abendbekleidung,Evening wear
Abendbekleidungen,Evening wear
Abendbeleuchtung,Evening lighting
Abendbeleuchtungen,Evening lights
Abendbereich,Evening area
Abendbereiche,Evening areas
Abendbereichen,Evening areas
Abendbereiches,Evening area
Abendbereichs,Evening area
Abendbergwerk,Evening mine
Abendbergwerke,Evening mines
Abendbergwerken,Evening mines
Abendbergwerks,Evening mine
Abendbesuch,Evening visit
Abendbesuche,Evening visits
Abendbesuchen,Evening visits
Abendbesuchs,Evening visit
Abendbild,Evening picture
Abendbilder,Evening pictures
Abendblatt,Evening paper
Abendblätter,Evening papers
Abendblättern,Evening papers
Abendblattes,Evening paper
Abendblatts,Evening paper
Abendblume,Evening flower
Abendblumen,Evening flowers
Abendbörse,Evening exchange
Abendbörsen,Evening fairs
Abendbrezel,Evening pretzel
Abendbrezeln,Evening pretzels
Abendbrise,Evening breeze
Abendbrot,dinner
Abendbrotbesteck,Dinner cutlery
Abendbrotbestecke,Dinner cutlery
Abendbrotbestecken,Dinner cutlery
Abendbrotbestecks,Dinner cutlery
Abendbrötchen,Evening rolls
Abendbrote,Suppers
Abendbroten,Suppers
Abendbrotes,Dinner
Abendbrotgeschirrs,Dinnerware
Abendbrots,Dinner
Abendbrotteller,Dinner plate
Abendbrottellers,Dinner plates
Abendbrottisch,Dinner table
Abendbrottische,Dinner tables
Abendbrottischen,Dinner tables
Abendbrotzeit,Dinner time
Abendbrotzeiten,Dinner times
Abendbrücken,Evening bridges
Abendbuffet,Evening buffet
Abendbuffets,Evening buffets
Abendchöre,Evening choirs
Abendchores,Evening choirs
Abenddämmerung,dusk
Abenddekoration,Evening decoration
Abenddienst,Evening service
Abenddienste,Evening services
Abenddiensten,Evening services
Abenddienstes,Evening service
Abendeinladungen,Evening invitations
Abendempfindung,Evening sensation
Abenden,Evenings
Abendessens,Dinner
Abendfähre,Evening ferry
Abendfähren,Evening ferries
Abendfahrten,Evening trips
Abendfalter,Evening butterfly
Abendfaltern,Evening butterflies
Abendfalters,Evening moth
Abendfantasie,Evening fantasy
Abendfantasien,Evening fantasies
Abendfehlern,Evening mistakes
Abendflut,Evening flood
Abendformen,Evening forms
Abendfriede,Evening peace
Abendfrieden,Evening peace
Abendführung,Evening tour
abendfüllend,full evening
abendfüllendem,full-length
abendfüllenden,full-length
abendfüllender,full evening
abendfüllendes,full-length
Abendfütterung,Evening feeding
Abendgage,Evening wages
Abendgala,Evening gala
Abendgast,Evening guest
Abendgästen,Evening guests
Abendgebeten,Evening prayers
Abendgebetes,Evening prayer
Abendgeläut,Evening bell
Abendgesang,Evening singing
Abendgesangs,Evening singing
Abendgeschäfte,Evening business
Abendgesprächs,Evening talk
Abendgottesdienstes,Evening service
Abendhauch,Evening breath
Abendhimmel,Evening sky
Abendkuriers,Evening couriers
Abendländerinnen,Westerners
abendländisch,Occidental
abendländischem,occidental
Abendlauf,Evening run
Abendlektüre,Evening reading
abendlich,evening
abendliche,evening
Abendlichtnelke,Evening carnation
Abendlichtnelken,Evening light carnations
Abendlied,Evening song
Abendlieder,Evening songs
Abendliedes,Evening song
Abendlinien,Evening lines
Abendlob,Evening praise
Abendlokalen,Night clubs
Abendluft,Evening air
Abendmagazine,Evening magazines
Abendmahl,Last supper
Abendmahlbesuche,Sacrament visits
Abendmahlbesuchen,Sacrament visits
Abendmahlbesuchs,Sacrament attendance
Abendmahlbild,Last Supper picture
Abendmahlbildern,Lord's Supper images
Abendmahlbrot,Communion bread
Abendmahlbrotes,Communion bread
Abendmahlen,Communions
Abendmahlfeiern,Celebrating the Lord's Supper
Abendmahlfrage,Sacrament question
Abendmahlgänger,Supper
Abendmahlgängerin,Supper
Abendmahlgängerinnen,Supperers
Abendmahlgängern,Supper goers
Abendmahlgängers,Supper
Abendmahlgemeinschaft,Communion fellowship
Abendmahlgemeinschaften,Sacrament communities
Abendmahlgottesdienste,Sacrament service
Abendmahlgottesdiensten,Sacrament service
Abendmahlgottesdienstes,Sacrament service
Abendmahlkanne,Supper pot
Abendmahlkannen,Supper jugs
Abendmahlkelch,Communion chalice
Abendmahlkelche,Communion Cups
Abendmahlkelchen,Communion Cups
Abendmahlrelief,Last Supper Relief
Abendmahlreliefs,Last Supper reliefs
Abendmahls,Supper
Abendmahlsaal,Upper Supper Room
Abendmahlsäle,Upper Supper Halls
Abendmahlsälen,Upper Supper Halls
Abendmahlsauffassung,Communion conception
Abendmahlsauffassungen,Concepts of the sacrament
Abendmahlsausteilung,Giving the sacrament
Abendmahlsausteilungen,Sacrament deliveries
Abendmahlsbank,Sacrament bench
Abendmahlsbericht,Last Supper Report
Abendmahlsberichte,Lord's Supper Reports
Abendmahlsberichts,Sacrament report
Abendmahlsbesucher,Supper goers
Abendmahlsbesucherin,Supper-goer
Abendmahlsbesucherinnen,Evening Mealers
Abendmahlsbesuchern,Sacrament goers
Abendmahlsbesuchers,Lord's Supper
Abendmahlsbild,Last Supper image
Abendmahlsbilder,Last Supper images
Abendmahlsbildern,Sacrament images
Abendmahlsbrot,Communion bread
Abendmahlsbrote,Communion sandwiches
Abendmahlsbroten,Communion sandwiches
Abendmahlsbulle,Communion bull
Abendmahlsbullen,Communion bulls
Abendmahlsdarstellung,Presentation of the Lord's Supper
Abendmahlsfeier,Sacrament celebration
Abendmahlsfenster,Sacrament window
Abendmahlsfensters,Sacrament window
Abendmahlsfest,Last Supper
Abendmahlsfestes,Communion feast
Abendmahlsfestzeit,Last Supper Time
Abendmahlsfestzeiten,Sacrament times
Abendmahlsform,Sacrament form
Abendmahlsformel,Lord's Supper Formula
Abendmahlsformen,Communion forms
Abendmahlsfrage,Sacrament question
Abendmahlsfragen,Sacrament issues
Abendmahlsgänger,Supper
Abendmahlsgängerin,Supper
Abendmahlsgängerinnen,Last Supper
Abendmahlsgängern,Supper goers
Abendmahlsgängers,Supper
Abendmahlsgast,Guest supper
Abendmahlsgäste,Supper guests
Abendmahlsgästen,Supper guests
Abendmahlsgebet,Sacrament prayer
Abendmahlsgebete,Sacrament prayers
Abendmahlsgebeten,Sacrament prayers
Abendmahlsgemälden,Last Supper Paintings
Abendmahlsgemäldes,Last Supper painting
Abendmahlsgemeinschaft,Communion fellowship
Abendmahlsgemeinschaften,Sacrament communities
Abendmahlsgemeinschaftserklärung,Communion Communion Declaration
Abendmahlsgemeinschaftserklärungen,Communion Communion Explanations
Abendmahlsgerät,Sacrament device
Abendmahlsgeräten,Sacrament implements
Abendmahlsgeschirr,Sacrament ware
Abendmahlsgeschirrs,Sacrament dishes
Abendmahlsgottesdienst,Sacrament service
Abendmahlsgottesdienste,Sacrament services
Abendmahlshostie,Last Supper Host
Abendmahlshostien,Lord's Supper Hosts
Abendmahlskasse,Sacrament box
Abendmahlskelch,Communion chalice
Abendmahlskelche,Communion chalices
Abendmahlskelchen,Communion chalice
Abendmahlslehre,Communion doctrine
Abendmahlslehren,Sacrament teachings
Abendmahlsliturgie,Lord's Supper Liturgy
Abendmahlsliturgien,Lord's Supper Liturgies
Abendmahlsmarke,Communion stamp
Abendmahlsmarken,Sacrament stamps
Abendmahlsmesse,Communion Mass
Abendmahlsmessen,Communion masses
Abendmahlsordnung,Lord's Supper Order
Abendmahlsordnungen,Sacrament ordinances
Abendmahlspraxis,Sacrament practice
Abendmahlsprobe,Sacrament rehearsal
Abendmahlsproben,Sacrament rehearsals
Abendmahlsrelief,Last Supper Relief
Abendmahlsreliefs,Communion reliefs
Abendmahlssaal,Upper Room
Abendmahlssaals,Upper Room
Abendmahlssakrament,Last Supper sacrament
Abendmahlssakramenten,Sacrament of the sacrament of the sacrament
Abendmahlsschrein,Sacrament shrine
Abendmahlsschreins,Lord's Supper Shrine
Abendmahlsschriften,Sacrament scriptures
Abendmahlsstreit,Sacrament controversy
Abendmahlsszene,Lord's Supper Scene
Abendmahlsszenen,Last Supper scenes
Abendmahlsteilnahme,Participation in the sacrament
Abendmahlsteilnahmen,Attendance at the sacrament
Abendmahlsteilnehmer,Evening meal attendees
Abendmahlsteilnehmerin,Participant in the sacrament
Abendmahlsteilnehmerinnen,Attendees of the sacrament
Abendmahlsteilnehmern,Attendees of the sacrament
Abendmahlsteilnehmers,Supper
Abendmahlsteller,Sacrament plate
Abendmahlstellern,Sacrament plates
Abendmahlstellers,Lord's Supper
Abendmahlstext,Last Supper text
Abendmahlstexte,Last Supper Texts
Abendmahlstexten,Sacrament texts
Abendmahlstextes,Last Supper text
Abendmahlsthematik,Sacrament theme
Abendmahlstheologie,Sacrament theology
Abendmahlsthese,Lord's Supper Thesis
Abendmahlsthesen,Lord's Supper theses
Abendmahlstisch,Lord's Supper Table
Abendmahlstische,Supper tables
Abendmahlstischen,Supper tables
Abendmahlstisches,Supper table
Abendmahlstischs,Communion table
Abendmahlstuch,Sacrament towel
Abendmahlsversammlung,Sacrament meeting
Abendmahlsversammlungen,Sacrament meetings
Abendmahlsverständnis,Understanding of the sacrament
Abendmahlsverständnisses,Understanding of the sacrament
Abendmahlswein,Communion wine
Abendmahlsweins,Communion wine
Abendmahlswort,Last Supper Word
Abendmahlsworte,Lord's Supper
Abendmahlsworten,Sacrament words
Abendmahlszene,Lord's Supper Scene
Abendmahlszenen,Lord's Supper Scenes
Abendmahlzeit,Evening meal
Abendmahlzeiten,Evening meals
Abendmantel,Evening coat
Abendmäntel,Evening coats
Abendmänteln,Evening coats
Abendmantels,Evening gown
Abendmärchen,Evening fairy tale
Abendmärchens,Evening fairy tale
Abendmeditation,Evening meditation
Abendmeditationen,Evening meditations
Abendmelodie,Evening melody
Abendmelodien,Evening melodies
Abendmensa,Evening canteen
Abendmensch,Evening person
Abendmenschen,Evening people
Abendmesse,Evening mass
Abendmessen,Evening meals
Abendmilch,Evening milk
Abendmittelschule,Evening middle school
Abendmittelschulen,Evening middle schools
Abendmodell,Evening model
Abendmodelle,Evening models
Abendmodellen,Evening models
Abendmodells,Evening model
Abendmohn,Evening poppy
Abendmusik,Evening music
Abendmusiken,Evening music
Abendnachricht,Evening news
Abendnachrichten,Evening news
Abendnelken,Evening carnations
Abendnetz,Evening network
Abendnetze,Evening nets
Abendnetzes,Evening network
Abendoberschule,Evening high school
Abendoberschulen,Evening high schools
Abendopfer,Evening sacrifice
Abendopfern,Evening sacrifices
Abendopfers,Evening sacrifice
Abendpegel,Evening level
Abendpfauenauge,Evening peacock butterfly
Abendpfauenaugen,Evening peacock eyes
Abendpfauenauges,Evening peacock
Abendphantasie,Evening fantasy
Abendphantasien,Evening fantasies
Abendpläne,Evening plans
Abendplänen,Evening plans
Abendplanung,Evening planning
Abendpost,Evening mail
Abendposten,Evening post
Abendpräferenz,Evening preference
Abendpreis,Evening price
Abendpreise,Evening prices
Abendpreisen,Evening prices
Abendpreises,Evening price
Abendprogramm,evening programme
Abendprogramme,Evening programs
Abendprogrammen,Evening programs
Abendprogramms,Evening program
Abendprovokation,Evening provocation
Abendpublikum,Evening audience
Abendpublikums,Evening audience
Abendrealschule,Evening secondary school
Abendrealschulen,Evening secondary schools
Abendregen,Evening rain
Abendregens,Evening rain
Abendrestaurant,Evening restaurant
Abendrestaurants,Evening restaurants
Abendrobe,Evening gown
Abendroben,Evening gowns
Abendrock,Evening skirt
Abendröcke,Evening skirts
Abendröcken,Evening skirts
Abendrocks,Evening skirts
Abendrot,Afterglow
abendrote,evening red
abendrotem,afterglow
abendroten,evening red
abendroter,afterglow
abendrotes,evening red
Abendroth,Evening red
Abendrots,Evening red
Abendruhe,Evening rest
abends,in the evening
Abendschatten,Evening shade
Abendschattens,Evening shade
Abendschau,Evening show
Abendschein,Evening glow
Abendschicht,Evening shift
Abendschichten,Evening shifts
Abendschuh,Evening shoe
Abendschuhe,Evening shoes
Abendschuhen,Evening shoes
Abendschulausbildung,Evening schooling
Abendschulausbildungen,Evening school training
Abendschule,Evening school
Abendschulen,Evening schools
Abendschüler,Evening students
Abendschülerinnen,Evening students
Abendschülern,Evening students
Abendschülers,Evening student
Abendschwärmer,Evening owls
Abendsegel,Evening sail
Abendsegels,Evening sail
Abendsegen,Evening blessing
Abendsegens,Evening blessing
Abendseglers,Noctule bat
Abendseite,Evening side
Abendseminar,Evening seminar
Abendseminare,Evening seminars
Abendseminaren,Evening seminars
Abendsendezeiten,Evening broadcast times
Abendshow,Evening show
Abendsignal,Evening signal
Abendsignals,Evening signal
Abendsitzung,Evening session
